0,0
0.02,35.49
0.07,91.28
0.12,131.53
0.17,139.75
0.22,148.63
0.27,155.34
0.32,159.64
0.37,165.07
0.42,164.08
0.47,168.24
0.52,169.65
0.57,171.16
0.62,171.73
0.67,173.62
0.72,176.6
0.77,179.34
0.82,180.8
0.87,183.07
0.92,182.17
0.97,184.39
1.02,184.63
1.07,185.2
1.12,188.36
1.17,187.32
1.22,187.42
1.27,187.32
1.32,188.83
1.37,187.13
1.42,185.8
1.47,184.11
1.52,185.29
1.57,184.01
1.62,182.69
1.67,180.99
1.72,181.18
1.77,178.96
1.82,177.54
1.87,174.42
1.92,175.46
1.97,171.4
2.02,172.25
2.07,173.01
2.12,167.76
2.17,166.87
2.22,164.88
2.27,163.46
2.32,161.95
2.37,158.79
2.42,157.7
2.47,156.38
2.52,153.64
2.57,151.65
2.62,148.96
2.67,147.5
2.72,143.9
2.77,141.64
2.82,138.61
2.87,136.21
2.92,134.17
2.97,131.57
3.02,129.12
3.07,126.14
3.12,122.83
3.17,122.74
3.22,116.74
3.27,112.53
3.32,109.37
3.37,106.72
3.42,103.13
3.47,100.72
3.52,97.75
3.57,95.48
3.62,92.6
3.67,89.67
3.72,87.5
3.77,85.09
3.82,82.44
3.87,80.55
3.92,77.53
3.97,75.68
4.02,73.32
4.07,71.62
4.12,69.5
4.17,67.42
4.22,65.53
4.27,63.78
4.32,60.98
4.37,60.14
4.42,58.39
4.47,57.12
4.52,54.71
4.57,54.42
4.62,53.05
4.67,50.65
4.72,48.33
4.77,46.82
4.82,45.68
4.87,44.13
4.92,43.42
4.97,42.71
5.02,40.68
5.07,39.68
5.12,38.17
5.17,37.13
5.22,36.33
5.27,35.01
5.32,33.68
5.37,32.88
5.42,31.94
5.47,30.38
5.52,29.34
5.57,28.91
5.62,28.35
5.67,27.64
5.72,26.41
5.76,25.09
5.81,24.52
5.86,23.53
5.91,23.24
5.96,22.3
6.01,21.73
6.06,20.88
6.11,19.8
6.16,19.56
6.21,19.04
6.26,18.05
6.31,17.39
6.36,17.15
6.41,16.39
6.46,16.06
6.51,15.4
6.56,15.21
6.61,14.17
6.66,13.42
6.71,13.04
6.76,12.47
6.81,12.14
6.86,12.09
6.91,10.91
6.96,10.39
7.01,10.16
7.06,9.68
7.11,9.83
7.16,8.69
9,0
